query_system	query_ligand_id	target_system	target_ligand_id	protein_mapping	protein_mapper	similarity	source	metric	mapping
a71ev2a-x4202a__1__1.A__1.X	a71ev2a-x4202a__1__1.X	7hx6__1__1.A__1.C	7hx6__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4959b__1__1.C__1.X	a71ev2a-x4959b__1__1.X	7i6f__2__1.B__1.G	7i6f__2__1.G	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0469a__1__1.A__1.X	a71ev2a-x0469a__1__1.X	7h3q__1__1.A__1.B	7h3q__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5758b__1__1.C__1.X	a71ev2a-x5758b__1__1.X	7i7x__2__1.B__1.E	7i7x__2__1.E	1.C:1.B	foldseek	96		sucos_shape_pocket_qcov	
a71ev2a-x1081b__1__1.A__1.X	a71ev2a-x1081b__1__1.X	7h4r__1__1.A__1.C	7h4r__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4650a__1__1.A__1.X	a71ev2a-x4650a__1__1.X	7i43__1__1.A__1.B	7i43__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4202b__1__1.C__1.X	a71ev2a-x4202b__1__1.X	7hx6__2__1.B__1.F	7hx6__2__1.F	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x3706a__1__1.A__1.X	a71ev2a-x3706a__1__1.X	7i37__1__1.A__1.C	7i37__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4751a__1__1.A__1.X	a71ev2a-x4751a__1__1.X	7i4x__1__1.A__1.C	7i4x__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4880a__1__1.A__1.X	a71ev2a-x4880a__1__1.X	7i5u__1__1.A__1.C	7i5u__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5226a__1__1.A__1.X	a71ev2a-x5226a__1__1.X	7i41__1__1.A__1.C	7i41__1__1.C	1.A:1.A	foldseek	77		sucos_shape_pocket_qcov	
a71ev2a-x5854a__1__1.A__1.X	a71ev2a-x5854a__1__1.X	7i6j__1__1.A__1.C	7i6j__1__1.C	1.A:1.A	foldseek	86		sucos_shape_pocket_qcov	
a71ev2a-x5171a__1__1.A__1.X	a71ev2a-x5171a__1__1.X	7i77__1__1.A__1.C	7i77__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4895a__1__1.A__1.X	a71ev2a-x4895a__1__1.X	7i5z__1__1.A__1.C	7i5z__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4739a__1__1.A__1.X	a71ev2a-x4739a__1__1.X	7i4s__1__1.A__1.B	7i4s__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0732a__1__1.A__1.X	a71ev2a-x0732a__1__1.X	7h4d__1__1.A__1.B	7h4d__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4494a__1__1.A__1.X	a71ev2a-x4494a__1__1.X	7i3k__1__1.A__1.B	7i3k__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x6821a__1__1.A__1.X	a71ev2a-x6821a__1__1.X	7i4a__1__1.A__1.B	7i4a__1__1.B	1.A:1.A	foldseek	80		sucos_shape_pocket_qcov	
a71ev2a-x0836b__1__1.A__1.X	a71ev2a-x0836b__1__1.X	7h4m__1__1.A__1.B	7h4m__1__1.B	1.A:1.A	foldseek	58		sucos_shape_pocket_qcov	
a71ev2a-x1019a__1__1.A__1.X	a71ev2a-x1019a__1__1.X	7h4o__1__1.A__1.B	7h4o__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0416a__1__1.A__1.X	a71ev2a-x0416a__1__1.X	7h3k__1__1.A__1.B	7h3k__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4018b__1__1.C__1.X	a71ev2a-x4018b__1__1.X	7hwz__2__1.B__1.F	7hwz__2__1.F	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x3264a__1__1.A__1.X	a71ev2a-x3264a__1__1.X	7huz__1__1.A__1.B_1.G	7huz__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4606b__1__1.C__1.X	a71ev2a-x4606b__1__1.X	7i3z__2__1.B__1.F	7i3z__2__1.F	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x3883a__1__1.A__1.X	a71ev2a-x3883a__1__1.X	7i39__1__1.A__1.C	7i39__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x7622a__1__1.A__1.X	a71ev2a-x7622a__1__1.X	7i5w__1__1.A__1.C	7i5w__1__1.C	1.A:1.A	foldseek	79		sucos_shape_pocket_qcov	
a71ev2a-x3548a__1__1.A__1.X	a71ev2a-x3548a__1__1.X	7hvi__1__1.A__1.B	7hvi__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0443a__1__1.B__1.X	a71ev2a-x0443a__1__1.X	7hod__2__1.B__1.F	7hod__2__1.F	1.B:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4877b__1__1.C__1.X	a71ev2a-x4877b__1__1.X	7i5t__2__1.B__1.E	7i5t__2__1.E	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4967c__1__1.C__1.X	a71ev2a-x4967c__1__1.X	7i6h__2__1.B__1.G_1.H	7i6h__2__1.H	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4895b__1__1.C__1.X	a71ev2a-x4895b__1__1.X	7i5z__2__1.B__1.F	7i5z__2__1.F	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4365a__1__1.A__1.X	a71ev2a-x4365a__1__1.X	7hye__1__1.A__1.C	7hye__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5824a__1__1.A__1.X	a71ev2a-x5824a__1__1.X	7i4a__1__1.A__1.B	7i4a__1__1.B	1.A:1.A	foldseek	75		sucos_shape_pocket_qcov	
a71ev2a-x5793a__1__1.A__1.X	a71ev2a-x5793a__1__1.X	7hvg__1__1.A__1.B	7hvg__1__1.B	1.A:1.A	foldseek	93		sucos_shape_pocket_qcov	
a71ev2a-x5203a__1__1.A__1.X	a71ev2a-x5203a__1__1.X	7i7b__1__1.A__1.C	7i7b__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x1346a__1__1.B__1.X	a71ev2a-x1346a__1__1.X	7i7u__1__1.A__1.C	7i7u__1__1.C	1.B:1.A	foldseek	57		sucos_shape_pocket_qcov	
a71ev2a-x4711a__1__1.A__1.X	a71ev2a-x4711a__1__1.X	7i4k__1__1.A__1.B	7i4k__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0351a__1__1.A__1.X	a71ev2a-x0351a__1__1.X	7h3a__1__1.A__1.C	7h3a__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5836a__1__1.A__1.X	a71ev2a-x5836a__1__1.X	7i7x__1__1.A__1.C	7i7x__1__1.C	1.A:1.A	foldseek	87		sucos_shape_pocket_qcov	
a71ev2a-x5015a__1__1.A__1.X	a71ev2a-x5015a__1__1.X	7i6q__1__1.A__1.C	7i6q__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x7560a__1__1.A__1.X	a71ev2a-x7560a__1__1.X	7i64__1__1.A__1.B	7i64__1__1.B	1.A:1.A	foldseek	81		sucos_shape_pocket_qcov	
a71ev2a-x6991a__1__1.A__1.X	a71ev2a-x6991a__1__1.X	7i4a__1__1.A__1.B	7i4a__1__1.B	1.A:1.A	foldseek	79		sucos_shape_pocket_qcov	
a71ev2a-x7560b__1__1.B__1.X	a71ev2a-x7560b__1__1.X	7i64__1__1.A__1.B	7i64__1__1.B	1.B:1.A	foldseek	80		sucos_shape_pocket_qcov	
a71ev2a-x7038a__1__1.A__1.X	a71ev2a-x7038a__1__1.X	7i4a__1__1.A__1.B	7i4a__1__1.B	1.A:1.A	foldseek	85		sucos_shape_pocket_qcov	
a71ev2a-x7256a__1__1.A__1.X	a71ev2a-x7256a__1__1.X	7i7x__2__1.B__1.E	7i7x__2__1.E	1.A:1.B	foldseek	86		sucos_shape_pocket_qcov	
a71ev2a-x4606a__1__1.A__1.X	a71ev2a-x4606a__1__1.X	7i3z__1__1.A__1.C	7i3z__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0853a__1__1.A__1.X	a71ev2a-x0853a__1__1.X	7h4h__1__1.A__1.B	7h4h__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4694a__1__1.A__1.X	a71ev2a-x4694a__1__1.X	7i4c__1__1.A__1.B	7i4c__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x3193a__1__1.A__1.X	a71ev2a-x3193a__1__1.X	7hup__1__1.A__1.B	7hup__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5389a__1__1.A__1.X	a71ev2a-x5389a__1__1.X	7i39__1__1.A__1.C	7i39__1__1.C	1.A:1.A	foldseek	83		sucos_shape_pocket_qcov	
a71ev2a-x6819a__1__1.A__1.X	a71ev2a-x6819a__1__1.X	7hx8__2__1.B__1.G_1.H	7hx8__2__1.G	1.A:1.B	foldseek	71		sucos_shape_pocket_qcov	
a71ev2a-x4954a__1__1.A__1.X	a71ev2a-x4954a__1__1.X	7i6e__1__1.A__1.B	7i6e__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4547a__1__1.A__1.X	a71ev2a-x4547a__1__1.X	7hzh__1__1.A__1.B	7hzh__1__1.B	1.A:1.A	foldseek	96		sucos_shape_pocket_qcov	
a71ev2a-x4903b__1__1.C__1.X	a71ev2a-x4903b__1__1.X	7i5f__2__1.B__1.G	7i5f__2__1.G	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4914a__1__1.A__1.X	a71ev2a-x4914a__1__1.X	7i63__1__1.A__1.B	7i63__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4998a__1__1.A__1.X	a71ev2a-x4998a__1__1.X	7i6p__1__1.A__1.C	7i6p__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x3557b__1__1.C__1.X	a71ev2a-x3557b__1__1.X	7hvl__2__1.B__1.F	7hvl__2__1.F	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x7359a__1__1.A__1.X	a71ev2a-x7359a__1__1.X	7i7x__1__1.A__1.C	7i7x__1__1.C	1.A:1.A	foldseek	94		sucos_shape_pocket_qcov	
a71ev2a-x4986b__1__1.C__1.X	a71ev2a-x4986b__1__1.X	7i6m__2__1.B__1.G	7i6m__2__1.G	1.C:1.B	foldseek	98		sucos_shape_pocket_qcov	
a71ev2a-x4880b__1__1.C__1.X	a71ev2a-x4880b__1__1.X	7i5u__2__1.B__1.G	7i5u__2__1.G	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5822a__1__1.A__1.X	a71ev2a-x5822a__1__1.X	7i68__1__1.A__1.B	7i68__1__1.B	1.A:1.A	foldseek	72		sucos_shape_pocket_qcov	
a71ev2a-x4885a__1__1.A__1.X	a71ev2a-x4885a__1__1.X	7i5x__1__1.A__1.C	7i5x__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x7031a__1__1.A__1.X	a71ev2a-x7031a__1__1.X	7i3m__1__1.A__1.C	7i3m__1__1.C	1.A:1.A	foldseek	78		sucos_shape_pocket_qcov	
a71ev2a-x5222a__1__1.A__1.X	a71ev2a-x5222a__1__1.X	7i7h__1__1.A__1.B	7i7h__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0396a__1__1.A__1.X	a71ev2a-x0396a__1__1.X	7h3i__1__1.A__1.B	7h3i__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5512b__1__1.C__1.X	a71ev2a-x5512b__1__1.X	7i7x__1__1.A__1.C	7i7x__1__1.C	1.C:1.A	foldseek	83		sucos_shape_pocket_qcov	
a71ev2a-x6028a__1__1.A__1.X	a71ev2a-x6028a__1__1.X	7i4o__1__1.A__1.B	7i4o__1__1.B	1.A:1.A	foldseek	78		sucos_shape_pocket_qcov	
a71ev2a-x7545a__1__1.A__1.X	a71ev2a-x7545a__1__1.X	7i5e__1__1.A__1.C	7i5e__1__1.C	1.A:1.A	foldseek	87		sucos_shape_pocket_qcov	
a71ev2a-x4017a__1__1.A__1.X	a71ev2a-x4017a__1__1.X	7hwy__1__1.A__1.C	7hwy__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4317a__1__1.A__1.X	a71ev2a-x4317a__1__1.X	7hxx__1__1.A__1.C	7hxx__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5104a__1__1.A__1.X	a71ev2a-x5104a__1__1.X	7i73__1__1.A__1.C	7i73__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x2293a__1__1.A__1.X	a71ev2a-x2293a__1__1.X	7hzk__1__1.A__1.F	7hzk__1__1.F	1.A:1.A	foldseek	98		sucos_shape_pocket_qcov	
a71ev2a-x7339a__1__1.A__1.X	a71ev2a-x7339a__1__1.X	7i64__1__1.A__1.B	7i64__1__1.B	1.A:1.A	foldseek	84		sucos_shape_pocket_qcov	
a71ev2a-x5431a__1__1.A__1.X	a71ev2a-x5431a__1__1.X	7i4d__1__1.A__1.B	7i4d__1__1.B	1.A:1.A	foldseek	84		sucos_shape_pocket_qcov	
a71ev2a-x0526a__1__1.A__1.X	a71ev2a-x0526a__1__1.X	7h40__1__1.A__1.B	7h40__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0395b__1__1.A__1.X	a71ev2a-x0395b__1__1.X	7h3h__1__1.A__1.C	7h3h__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0719a__1__1.A__1.X	a71ev2a-x0719a__1__1.X	7h4c__1__1.A__1.C	7h4c__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4644a__1__1.A__1.X	a71ev2a-x4644a__1__1.X	7i42__1__1.A__1.C	7i42__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x2448a__1__1.A__1.X	a71ev2a-x2448a__1__1.X	7h3l__1__1.A__1.B	7h3l__1__1.B	1.A:1.A	foldseek	90		sucos_shape_pocket_qcov	
a71ev2a-x4035b__1__1.C__1.X	a71ev2a-x4035b__1__1.X	7hx5__2__1.B__1.F	7hx5__2__1.F	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4322a__1__1.A__1.X	a71ev2a-x4322a__1__1.X	7hy0__1__1.A__1.C	7hy0__1__1.C	1.A:1.A	foldseek	96		sucos_shape_pocket_qcov	
a71ev2a-x4313a__1__1.A__1.X	a71ev2a-x4313a__1__1.X	7hxu__1__1.A__1.C	7hxu__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x7333a__1__1.A__1.X	a71ev2a-x7333a__1__1.X	7i64__1__1.A__1.B	7i64__1__1.B	1.A:1.A	foldseek	82		sucos_shape_pocket_qcov	
a71ev2a-x4980a__1__1.A__1.X	a71ev2a-x4980a__1__1.X	7i6l__1__1.A__1.B	7i6l__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5171b__1__1.C__1.X	a71ev2a-x5171b__1__1.X	7i77__2__1.B__1.G	7i77__2__1.G	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x5793b__1__1.C__1.X	a71ev2a-x5793b__1__1.X	7hvg__1__1.A__1.B	7hvg__1__1.B	1.C:1.A	foldseek	97		sucos_shape_pocket_qcov	
a71ev2a-x5448a__1__1.A__1.X	a71ev2a-x5448a__1__1.X	7i70__2__1.B__1.F	7i70__2__1.F	1.A:1.B	foldseek	94		sucos_shape_pocket_qcov	
a71ev2a-x0586a__1__1.A__1.X	a71ev2a-x0586a__1__1.X	7h48__1__1.A__1.B	7h48__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4570a__1__1.A__1.X	a71ev2a-x4570a__1__1.X	7i3s__1__1.A__1.B	7i3s__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x7475a__1__1.A__1.X	a71ev2a-x7475a__1__1.X	7i3m__1__1.A__1.C	7i3m__1__1.C	1.A:1.A	foldseek	77		sucos_shape_pocket_qcov	
a71ev2a-x4583b__1__1.C__1.X	a71ev2a-x4583b__1__1.X	7i3w__2__1.B__1.F	7i3w__2__1.F	1.C:1.B	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x1109a__1__1.A__1.X	a71ev2a-x1109a__1__1.X	7h4u__1__1.A__1.B_1.C	7h4u__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x7379a__1__1.A__1.X	a71ev2a-x7379a__1__1.X	7i5c__1__1.A__1.C	7i5c__1__1.C	1.A:1.A	foldseek	79		sucos_shape_pocket_qcov	
a71ev2a-x4882a__1__1.A__1.X	a71ev2a-x4882a__1__1.X	7i5v__1__1.A__1.C	7i5v__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x3571a__1__1.A__1.X	a71ev2a-x3571a__1__1.X	7hvo__1__1.A__1.C	7hvo__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4608a__1__1.A__1.X	a71ev2a-x4608a__1__1.X	7i40__1__1.A__1.B	7i40__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x7316a__1__1.A__1.X	a71ev2a-x7316a__1__1.X	7i3m__1__1.A__1.C	7i3m__1__1.C	1.A:1.A	foldseek	78		sucos_shape_pocket_qcov	
a71ev2a-x0351c__1__1.A__1.X	a71ev2a-x0351c__1__1.X	7h3a__1__1.A__1.B	7h3a__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x4373a__1__1.A__1.X	a71ev2a-x4373a__1__1.X	7hyh__1__1.A__1.B	7hyh__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x0836a__1__1.A__1.X	a71ev2a-x0836a__1__1.X	7h3d__1__1.A__1.B	7h3d__1__1.B	1.A:1.A	foldseek	66		sucos_shape_pocket_qcov	
a71ev2a-x3956a__1__1.A__1.X	a71ev2a-x3956a__1__1.X	7hwl__1__1.A__1.C	7hwl__1__1.C	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
a71ev2a-x2304a__1__1.A__1.X	a71ev2a-x2304a__1__1.X	7huk__1__1.A__1.C	7huk__1__1.C	1.A:1.A	foldseek	88		sucos_shape_pocket_qcov	
a71ev2a-x7353b__1__1.A__1.X	a71ev2a-x7353b__1__1.X	7i3m__1__1.A__1.C	7i3m__1__1.C	1.A:1.A	foldseek	78		sucos_shape_pocket_qcov	
